year,month,date,policy_owner,product,policy_gender,age,city,province,social_status,premium_mode,policy_source,market,client_segment
2024,4,4/2/2024,Client 96,FIT & WELL,Female,31,Quezon City,Metro Manila,Single,Quarterly ,Active,Warm,Employee
2024,4,4/3/2024,Client 97,FIT & WELL,Male,27,Quezon City,Metro Manila,Single,Quarterly ,Active,Warm,Employee
2024,4,4/4/2024,Client 98,FIT & WELL,Female,34,Manila City,Metro Manila,Married With Kids,Annual,Passive,Warm,Employee
2024,4,4/4/2024,Client 99,ELITE,Female,34,Manila City,Metro Manila,Married With Kids,Annual,Passive,Warm,Employee
2024,4,4/23/2024,Client 100,FIT & WELL,Female,28,Urdaneta,Pangasinan,Single,Quarterly ,Passive,Warm,Overseas Worker
2024,5,5/14/2024,Client 101,PRIME,Female,32,Marikina City,Metro Manila,Single,Quarterly ,Active,Warm,Employee
2024,6,6/6/2024,Client 102,PRIME,Female,21,Cebu City,Cebu,Married With Kids,Quarterly ,Active,Cold,Employee
2024,6,6/14/2024,Client 103,PRIME,Female,21,Cebu City,Cebu,Married With Kids,Quarterly ,Active,Cold,Employee
2024,6,6/25/2024,Client 104,PRIME,Male,31,Quezon City,Metro Manila,Married NO kids,Quarterly ,Passive,Warm,Overseas Worker
2024,7,7/9/2024,Client 105,PRIME,Female,27,Antipolo,Rizal,Married With Kids,Quarterly ,Active,Cold,Employee
2024,8,8/5/2024,Client 106,FIT & WELL,Male,29,Cebu City,Cebu,Single,Annual,Active,Cold,Overseas Worker
2024,8,8/29/2024,Client 107,PRIME,Female,32,Quezon City,Metro Manila,Married With Kids,Annual,Active,Warm,Employee
2024,9,9/3/2024,Client 108,FIT & WELL,Male,40,Irosin,Sorsogon,Single,Annual,Active,Cold,Overseas Worker
2024,9,9/19/2024,Client 109,FIT & WELL,Female,27,Marikina City,Metro Manila,Single,Annual,Referral,Cold,Employee
2024,9,9/30/2024,Client 110,ASSURE,Male,27,Marikina City,Metro Manila,Single,Annual,Passive,Natural,Employee
2024,10,10/22/2024,Client 111,FIT & WELL,Female,34,Paranaque City,Metro Manila,Married With Kids,Annual,Referral,Cold,Overseas Worker
2024,10,10/25/2024,Client 112,PRIME,Male,34,Quezon City,Metro Manila,Single,Quarterly ,Passive,Warm,Employee
2024,11,11/5/2024,Client 113,PRIME,Female,26,Dolores,Abra,Married With Kids,Quarterly ,Active,Cold,Employee
2024,12,12/5/2024,Client 114,FIT & WELL,Female,53,Laguna,Laguna,Married With Kids,Quarterly ,Referral,Cold,Overseas Worker
2024,12,12/18/2024,Client 115,FIT & WELL,Male,29,Valenzuela,Metro Manila,Single,Annual,Active,Warm,Employee
2024,12,12/23/2024,Client 116,PRIME,Female,28,Montalban,Rizal,Married With Kids,Monthly,Passive,Warm,Employee
2023,8,8/24/2023,Client 66,SINGLE PAY,Female,21,Marikina,Metro Manila,Single,Annual,Passive,Natural,Overseas Worker
2021,11,11/8/2021,Client 5,PRIME,Male,26,Mandaluyong City,Metro Manila,Single,Quarterly ,Active,Warm,Employee
2022,7,7/4/2022,Client 19,FIT & WELL,Female,31,Marikina,Metro Manila,Single,Annual,Passive,Natural,Employee
2022,7,7/4/2022,Client 19,FIT & WELL,Female,31,Marikina,Metro Manila,Single,Annual,Passive,Natural,Employee
2022,12,,,FIT & WELL,Female,31,Marikina,Metro Manila,Single,Annual,Passive,Natural,Employee
2024,6,,Client 102,PRIME,Female,21,Cebu City,Cebu,Married With Kids,Quarterly ,Active,Cold,Employee
2024,10,10/22/2024,,,Female,34,Paranaque City,Metro Manila,Married With Kids,Annual,Referral,Cold,Overseas Worker
